rank_test_score,params,mean_test_score,std_test_score
40,"OrderedDict({'bool_scale': False, 'bool_tsne': False, 'num_cluster': 30, 'num_iter': 174, 'pca_dimmension': 76})",0.8090909090909091,0.027272727272727226
41,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 35, 'num_iter': 103, 'pca_dimmension': 81})",0.7956521739130435,0.013043478260869545
42,"OrderedDict({'bool_scale': False, 'bool_tsne': False, 'num_cluster': 44, 'num_iter': 27, 'pca_dimmension': 109})",0.7692307692307693,0.028846153846153855
43,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 61, 'num_iter': 67, 'pca_dimmension': 8})",0.7238805970149254,0.0
44,"OrderedDict({'bool_scale': True, 'bool_tsne': False, 'num_cluster': 28, 'num_iter': 131, 'pca_dimmension': 33})",0.7175925925925926,0.013888888888888895
45,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 13, 'num_iter': 119, 'pca_dimmension': 29})",0.6045454545454545,0.004545454545454575
46,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 10, 'num_iter': 181, 'pca_dimmension': 49})",0.585,0.024999999999999967
47,"OrderedDict({'bool_scale': False, 'bool_tsne': False, 'num_cluster': 10, 'num_iter': 5, 'pca_dimmension': 150})",0.5800000000000001,0.02999999999999997
48,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 10, 'num_iter': 34, 'pca_dimmension': 12})",0.525,0.015000000000000013
49,"OrderedDict({'bool_scale': False, 'bool_tsne': False, 'num_cluster': 48, 'num_iter': 200, 'pca_dimmension': 2})",0.43103448275862066,0.06896551724137931
50,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 5, 'pca_dimmension': 2})",0.37,0.04999999999999999
