rank_test_score,params,mean_test_score,std_test_score
1,"OrderedDict({'num_cluster': 33, 'num_iter': 82, 'pca_dimmension': 37})",0.2707736261953129,0.04422857672304341
2,"OrderedDict({'num_cluster': 62, 'num_iter': 194, 'pca_dimmension': 48})",0.2560648029155488,0.13585530829592954
3,"OrderedDict({'num_cluster': 86, 'num_iter': 141, 'pca_dimmension': 106})",0.18524576862535092,0.11901812124169628
4,"OrderedDict({'num_cluster': 25, 'num_iter': 153, 'pca_dimmension': 41})",0.1740967938647854,0.1248162779336189
5,"OrderedDict({'num_cluster': 70, 'num_iter': 104, 'pca_dimmension': 140})",0.16458988144472017,0.07083168168697072
